,wt0,wt1,wt2,wt3,wt4,wt5,wt6,wt7,wt8,wt9,wt10,wt11,wt12,wt13,wt14,wt15,wt16,wt17,wt18,wt19,wt20,wt21,wt22,wt23,wt24,wt25,Total Revenue,target
37,0.0,3.0,2.0,40.0,39.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,12382.265080958767,88.0
38,0.0,0.0,0.0,40.0,33.0,37.0,40.0,40.0,35.0,34.0,38.0,36.0,40.0,34.0,36.0,40.0,39.0,40.0,40.0,40.0,34.0,39.0,38.0,37.0,40.0,40.0,11799.92949147128,84.0
39,0.0,0.0,0.0,40.0,35.0,39.0,40.0,40.0,38.0,37.0,40.0,38.0,40.0,37.0,38.0,40.0,40.0,40.0,40.0,40.0,37.0,40.0,40.0,39.0,40.0,40.0,12150.376425878418,52.0
40,0.0,4.0,3.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,12388.637906715936,91.0
41,0.0,3.0,2.0,40.0,39.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,12382.265080958767,42.0
42,0.0,4.0,3.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,12388.637906715936,60.0
43,0.0,0.0,0.0,40.0,33.0,37.0,40.0,40.0,35.0,34.0,38.0,36.0,40.0,34.0,36.0,40.0,39.0,40.0,40.0,40.0,34.0,39.0,38.0,37.0,40.0,40.0,11799.92949147128,41.0
44,0.0,0.0,0.0,40.0,37.0,40.0,40.0,40.0,39.0,38.0,40.0,40.0,40.0,38.0,40.0,40.0,40.0,40.0,40.0,40.0,38.0,40.0,40.0,40.0,40.0,40.0,12280.238906066052,75.0
45,0.0,0.0,0.0,40.0,33.0,37.0,40.0,40.0,35.0,34.0,38.0,36.0,40.0,34.0,36.0,40.0,39.0,40.0,40.0,40.0,34.0,39.0,38.0,37.0,40.0,40.0,11799.92949147128,59.0
46,0.0,4.0,3.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,12388.637906715936,60.0
47,0.0,0.0,0.0,40.0,37.0,40.0,40.0,40.0,39.0,38.0,40.0,40.0,40.0,38.0,40.0,40.0,40.0,40.0,40.0,40.0,38.0,40.0,40.0,40.0,40.0,40.0,12280.238906066052,72.0
48,0.0,1.0,0.0,40.0,38.0,40.0,40.0,40.0,40.0,39.0,40.0,40.0,40.0,39.0,40.0,40.0,40.0,40.0,40.0,40.0,39.0,40.0,40.0,40.0,40.0,40.0,12332.547913828212,43.0
49,0.0,2.0,1.0,40.0,38.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,12375.8922552016,42.0
50,0.0,4.0,3.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,12388.637906715936,59.0
51,0.0,0.0,0.0,40.0,34.0,38.0,40.0,40.0,37.0,35.0,39.0,37.0,40.0,35.0,37.0,40.0,40.0,40.0,40.0,40.0,35.0,40.0,39.0,38.0,40.0,40.0,11976.348898780112,43.0
52,0.0,2.0,1.0,40.0,38.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,12375.8922552016,50.0
53,0.0,2.0,1.0,40.0,38.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,12375.8922552016,42.0
54,0.0,0.0,0.0,40.0,34.0,38.0,40.0,40.0,37.0,35.0,39.0,37.0,40.0,35.0,37.0,40.0,40.0,40.0,40.0,40.0,35.0,40.0,39.0,38.0,40.0,40.0,11976.348898780112,64.0
55,0.0,0.0,0.0,40.0,35.0,39.0,40.0,40.0,38.0,37.0,40.0,38.0,40.0,37.0,38.0,40.0,40.0,40.0,40.0,40.0,37.0,40.0,40.0,39.0,40.0,40.0,12150.376425878418,63.0
56,0.0,0.0,0.0,40.0,35.0,39.0,40.0,40.0,38.0,37.0,40.0,38.0,40.0,37.0,38.0,40.0,40.0,40.0,40.0,40.0,37.0,40.0,40.0,39.0,40.0,40.0,12150.376425878418,42.0
57,0.0,0.0,0.0,40.0,34.0,38.0,40.0,40.0,37.0,35.0,39.0,37.0,40.0,35.0,37.0,40.0,40.0,40.0,40.0,40.0,35.0,40.0,39.0,38.0,40.0,40.0,11976.348898780112,47.0
58,0.0,3.0,2.0,40.0,39.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,12382.265080958767,56.0
59,0.0,3.0,2.0,40.0,39.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,12382.265080958767,50.0
60,0.0,4.0,3.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,12388.637906715936,71.0
61,0.0,2.0,1.0,40.0,38.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,12375.8922552016,41.0
62,0.0,1.0,0.0,40.0,38.0,40.0,40.0,40.0,40.0,39.0,40.0,40.0,40.0,39.0,40.0,40.0,40.0,40.0,40.0,40.0,39.0,40.0,40.0,40.0,40.0,40.0,12332.547913828212,41.0
63,0.0,4.0,3.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,12388.637906715936,41.0
64,0.0,0.0,0.0,40.0,34.0,38.0,40.0,40.0,37.0,35.0,39.0,37.0,40.0,35.0,37.0,40.0,40.0,40.0,40.0,40.0,35.0,40.0,39.0,38.0,40.0,40.0,11976.348898780112,76.0
65,0.0,4.0,3.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,12388.637906715936,49.0
66,0.0,3.0,2.0,40.0,39.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,12382.265080958767,48.0
67,0.0,1.0,0.0,40.0,38.0,40.0,40.0,40.0,40.0,39.0,40.0,40.0,40.0,39.0,40.0,40.0,40.0,40.0,40.0,40.0,39.0,40.0,40.0,40.0,40.0,40.0,12332.547913828212,43.0
68,0.0,0.0,0.0,40.0,33.0,37.0,40.0,40.0,35.0,34.0,38.0,36.0,40.0,34.0,36.0,40.0,39.0,40.0,40.0,40.0,34.0,39.0,38.0,37.0,40.0,40.0,11799.92949147128,86.0
69,0.0,4.0,3.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,12388.637906715936,76.0
70,0.0,3.0,2.0,40.0,39.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,12382.265080958767,92.0
71,0.0,2.0,1.0,40.0,38.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,12375.8922552016,49.0
72,0.0,0.0,0.0,40.0,37.0,40.0,40.0,40.0,39.0,38.0,40.0,40.0,40.0,38.0,40.0,40.0,40.0,40.0,40.0,40.0,38.0,40.0,40.0,40.0,40.0,40.0,12280.238906066052,85.0
73,0.0,3.0,2.0,40.0,39.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,12382.265080958767,41.0
74,0.0,0.0,0.0,40.0,37.0,40.0,40.0,40.0,39.0,38.0,40.0,40.0,40.0,38.0,40.0,40.0,40.0,40.0,40.0,40.0,38.0,40.0,40.0,40.0,40.0,40.0,12280.238906066052,63.0
75,0.0,3.0,2.0,40.0,39.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,12382.265080958767,65.0
76,0.0,0.0,0.0,40.0,35.0,39.0,40.0,40.0,38.0,37.0,40.0,38.0,40.0,37.0,38.0,40.0,40.0,40.0,40.0,40.0,37.0,40.0,40.0,39.0,40.0,40.0,12150.376425878418,42.0
77,0.0,1.0,0.0,40.0,38.0,40.0,40.0,40.0,40.0,39.0,40.0,40.0,40.0,39.0,40.0,40.0,40.0,40.0,40.0,40.0,39.0,40.0,40.0,40.0,40.0,40.0,12332.547913828212,87.0
78,0.0,0.0,0.0,40.0,34.0,38.0,40.0,40.0,37.0,35.0,39.0,37.0,40.0,35.0,37.0,40.0,40.0,40.0,40.0,40.0,35.0,40.0,39.0,38.0,40.0,40.0,11976.348898780112,50.0
79,0.0,0.0,0.0,40.0,33.0,37.0,40.0,40.0,35.0,34.0,38.0,36.0,40.0,34.0,36.0,40.0,39.0,40.0,40.0,40.0,34.0,39.0,38.0,37.0,40.0,40.0,11799.92949147128,59.0
80,0.0,0.0,0.0,40.0,35.0,39.0,40.0,40.0,38.0,37.0,40.0,38.0,40.0,37.0,38.0,40.0,40.0,40.0,40.0,40.0,37.0,40.0,40.0,39.0,40.0,40.0,12150.376425878418,43.0
81,0.0,4.0,3.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,12388.637906715936,81.0
82,0.0,0.0,0.0,40.0,33.0,37.0,40.0,40.0,35.0,34.0,38.0,36.0,40.0,34.0,36.0,40.0,39.0,40.0,40.0,40.0,34.0,39.0,38.0,37.0,40.0,40.0,11799.92949147128,73.0
83,0.0,1.0,0.0,40.0,38.0,40.0,40.0,40.0,40.0,39.0,40.0,40.0,40.0,39.0,40.0,40.0,40.0,40.0,40.0,40.0,39.0,40.0,40.0,40.0,40.0,40.0,12332.547913828212,43.0
84,0.0,0.0,0.0,40.0,33.0,37.0,40.0,40.0,35.0,34.0,38.0,36.0,40.0,34.0,36.0,40.0,39.0,40.0,40.0,40.0,34.0,39.0,38.0,37.0,40.0,40.0,11799.92949147128,66.0
85,0.0,0.0,0.0,40.0,35.0,39.0,40.0,40.0,38.0,37.0,40.0,38.0,40.0,37.0,38.0,40.0,40.0,40.0,40.0,40.0,37.0,40.0,40.0,39.0,40.0,40.0,12150.376425878418,89.0
86,0.0,1.0,0.0,40.0,38.0,40.0,40.0,40.0,40.0,39.0,40.0,40.0,40.0,39.0,40.0,40.0,40.0,40.0,40.0,40.0,39.0,40.0,40.0,40.0,40.0,40.0,12332.547913828212,76.0
87,0.0,4.0,3.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,12388.637906715936,43.0
88,0.0,0.0,0.0,40.0,34.0,38.0,40.0,40.0,37.0,35.0,39.0,37.0,40.0,35.0,37.0,40.0,40.0,40.0,40.0,40.0,35.0,40.0,39.0,38.0,40.0,40.0,11976.348898780112,49.0
89,0.0,1.0,0.0,40.0,38.0,40.0,40.0,40.0,40.0,39.0,40.0,40.0,40.0,39.0,40.0,40.0,40.0,40.0,40.0,40.0,39.0,40.0,40.0,40.0,40.0,40.0,12332.547913828212,52.0
90,0.0,0.0,0.0,40.0,35.0,39.0,40.0,40.0,38.0,37.0,40.0,38.0,40.0,37.0,38.0,40.0,40.0,40.0,40.0,40.0,37.0,40.0,40.0,39.0,40.0,40.0,12150.376425878418,42.0
91,0.0,0.0,0.0,40.0,34.0,38.0,40.0,40.0,37.0,35.0,39.0,37.0,40.0,35.0,37.0,40.0,40.0,40.0,40.0,40.0,35.0,40.0,39.0,38.0,40.0,40.0,11976.348898780112,49.0
92,0.0,2.0,1.0,40.0,38.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,12375.8922552016,43.0
93,0.0,3.0,2.0,40.0,39.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,12382.265080958767,67.0
94,0.0,4.0,3.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,12388.637906715936,71.0
95,0.0,0.0,0.0,40.0,37.0,40.0,40.0,40.0,39.0,38.0,40.0,40.0,40.0,38.0,40.0,40.0,40.0,40.0,40.0,40.0,38.0,40.0,40.0,40.0,40.0,40.0,12280.238906066052,87.0
96,0.0,0.0,0.0,40.0,34.0,38.0,40.0,40.0,37.0,35.0,39.0,37.0,40.0,35.0,37.0,40.0,40.0,40.0,40.0,40.0,35.0,40.0,39.0,38.0,40.0,40.0,11976.348898780112,86.0
97,0.0,2.0,1.0,40.0,38.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,12375.8922552016,74.0
98,0.0,2.0,1.0,40.0,38.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,12375.8922552016,43.0
99,0.0,0.0,0.0,40.0,33.0,37.0,40.0,40.0,35.0,34.0,38.0,36.0,40.0,34.0,36.0,40.0,39.0,40.0,40.0,40.0,34.0,39.0,38.0,37.0,40.0,40.0,11799.92949147128,74.0
100,0.0,0.0,0.0,40.0,34.0,38.0,40.0,40.0,37.0,35.0,39.0,37.0,40.0,35.0,37.0,40.0,40.0,40.0,40.0,40.0,35.0,40.0,39.0,38.0,40.0,40.0,11976.348898780112,77.0
101,0.0,4.0,3.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,12388.637906715936,49.0
102,0.0,2.0,1.0,40.0,38.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,12375.8922552016,53.0
103,0.0,3.0,2.0,40.0,39.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,12382.265080958767,63.0
104,0.0,0.0,0.0,40.0,37.0,40.0,40.0,40.0,39.0,38.0,40.0,40.0,40.0,38.0,40.0,40.0,40.0,40.0,40.0,40.0,38.0,40.0,40.0,40.0,40.0,40.0,12280.238906066052,43.0
105,0.0,3.0,2.0,40.0,39.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,12382.265080958767,42.0
106,0.0,1.0,0.0,40.0,38.0,40.0,40.0,40.0,40.0,39.0,40.0,40.0,40.0,39.0,40.0,40.0,40.0,40.0,40.0,40.0,39.0,40.0,40.0,40.0,40.0,40.0,12332.547913828212,85.0
107,0.0,0.0,0.0,40.0,37.0,40.0,40.0,40.0,39.0,38.0,40.0,40.0,40.0,38.0,40.0,40.0,40.0,40.0,40.0,40.0,38.0,40.0,40.0,40.0,40.0,40.0,12280.238906066052,43.0
108,0.0,0.0,0.0,40.0,34.0,38.0,40.0,40.0,37.0,35.0,39.0,37.0,40.0,35.0,37.0,40.0,40.0,40.0,40.0,40.0,35.0,40.0,39.0,38.0,40.0,40.0,11976.348898780112,42.0
109,0.0,3.0,2.0,40.0,39.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,12382.265080958767,51.0
110,0.0,0.0,0.0,40.0,33.0,37.0,40.0,40.0,35.0,34.0,38.0,36.0,40.0,34.0,36.0,40.0,39.0,40.0,40.0,40.0,34.0,39.0,38.0,37.0,40.0,40.0,11799.92949147128,42.0
111,0.0,4.0,3.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,12388.637906715936,68.0
112,0.0,0.0,0.0,40.0,37.0,40.0,40.0,40.0,39.0,38.0,40.0,40.0,40.0,38.0,40.0,40.0,40.0,40.0,40.0,40.0,38.0,40.0,40.0,40.0,40.0,40.0,12280.238906066052,50.0
113,0.0,0.0,0.0,40.0,37.0,40.0,40.0,40.0,39.0,38.0,40.0,40.0,40.0,38.0,40.0,40.0,40.0,40.0,40.0,40.0,38.0,40.0,40.0,40.0,40.0,40.0,12280.238906066052,62.0
114,0.0,0.0,0.0,40.0,33.0,37.0,40.0,40.0,35.0,34.0,38.0,36.0,40.0,34.0,36.0,40.0,39.0,40.0,40.0,40.0,34.0,39.0,38.0,37.0,40.0,40.0,11799.92949147128,70.0
115,0.0,4.0,3.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,12388.637906715936,50.0
